5s,15s,20d,6s,14n,10s,datetime,date
USGS,2447025,2024-04-04 07:00,CDT,12300,P,2024-04-04 07:00:00,2024-04-04
USGS,2447025,2024-04-13 19:00,CDT,61100,P,2024-04-13 19:00:00,2024-04-13
USGS,2447025,2024-04-14 06:00,CDT,57600,P,2024-04-14 06:00:00,2024-04-14
USGS,2447025,2024-04-25 04:00,CDT,9980,P,2024-04-25 04:00:00,2024-04-25
USGS,2447025,2024-05-05 02:00,CDT,5840,P,2024-05-05 02:00:00,2024-05-05
USGS,2447025,2024-05-16 01:00,CDT,3040,P,2024-05-16 01:00:00,2024-05-16
USGS,2447025,2024-05-25 12:00,CDT,6730,P,2024-05-25 12:00:00,2024-05-25
USGS,2447025,2024-05-25 23:00,CDT,5680,P,2024-05-25 23:00:00,2024-05-25
USGS,2447025,2024-06-05 21:00,CDT,7990,P,2024-06-05 21:00:00,2024-06-05
USGS,2447025,2024-06-15 09:00,CDT,2750,P,2024-06-15 09:00:00,2024-06-15
USGS,2447025,2024-06-15 20:00,CDT,445,P,2024-06-15 20:00:00,2024-06-15
USGS,2447025,2024-06-26 18:00,CDT,614,P,2024-06-26 18:00:00,2024-06-26
USGS,2447025,2024-07-06 06:00,CDT,2710,P,2024-07-06 06:00:00,2024-07-06
USGS,2447025,2024-07-06 17:00,CDT,2200,P,2024-07-06 17:00:00,2024-07-06
USGS,2447025,2024-07-17 15:00,CDT,594,P,2024-07-17 15:00:00,2024-07-17
USGS,2447025,2024-07-27 03:00,CDT,2000,P,2024-07-27 03:00:00,2024-07-27
